name,position_desc
python开发,"负责ERP系统后端开发，python脚本工具开发，SQL报表开发

岗位要求：
精通Python3、MVC、SQL、B/S架构、Git、前端基础、Linux基础
快速SQL报表开发能力；
快速Python脚本工具开发能力；

择优说明：

1、从事过ERP、OMS、WMS、MES、PLM、CRM、MRP等产品设计、规划、开发优先考虑；
2、熟悉Mysql、PostgreSQL数据库，能熟练编写调试SQL语句、存储过程、索引、性能优化，快速SQL报表开发能力，有一定的数据库设计能力。
3、有进出口、跨境、电商、物流、仓储、供应链、制造等行业背景；
4、熟悉企业内部订单维护、履行调度、内部控制、成本控制、经营分析与报表；
5、有致于深耕企业管理产品领域，与公司管理层、ERP团队、内部作业部门紧密协同，紧贴业务发展、业务需求、结合行业标准，把握产品重点并进行创新；


职能类别：
Python开发工程师
微信分享"
,
python开发,"1 负责公司产品后台的设计与开发；
2 平台整体的性能改进；
3 编写设计及开发等技术文挡；
4 对新技术敏感，乐于研究顶尖技术并应用于公司产品；
5 与团队成员充分、有效沟通协作。
任职资格：
1 计算机相关专业本科及以上学历
2 精通Python，2年以上Python后台开发经验，有良好的编码习惯；
3 熟悉HTTP协议，了解RESTful；
4 熟悉Django/Tornado等web开发框架；
5 熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验；
6 熟悉Unix/Linux操作系统下的开发，部署，维护等工作；
7 具备良好的分析解决问题能力和团队合作能力；
8 具有良好的学习能力，对互联网的新技术有很强的求知欲望；
职能类别：
其他
微信分享"
,
python开发,"（中山复旦联合创新中心孵化企业职位XC）
1. 负责产品的服务端研发；
2. 深分析业务需求，撰写技术案和系统设计；
3. 根据产品需求，进系统设计和编码；
4. 持续对系统架构进改造和优化；
岗位要求:
1. 计算机及相关专业本科及以上；
2. 具备丰富的python实际项开发经验；
3. 熟悉并掌握Flask, Django等web框架，了解架构设计和实现原理；
4. 熟悉数据库操作，拥有MySQLMongoDBRedis等使经验；
5. 熟悉Python的特性，深理解各种设计模式和应场景。
7. 具有Linux\Unix下操作经验；
8. 具有良好的沟通能力，自我驱动能力
9. 了解机器学习，有常深度学习框架（如TensorFlow，PyTorch等）使经验者优先；
10. 了解虚拟化技术，熟悉docker者优先
职能类别：
Python开发工程师
关键字：
python爬虫软件开发软件工程师开发开发工程师
微信分享"
,
python开发,"岗位职责：
1、 负责mobile web前后端的系统设计、开发和维护工作。
2、负责改善和支持mobile Web，确保浏览器及平台的性能和兼容性，提高用户的访问速度、提升用户体验；
3、根据项目开发进度和任务分配，开发相应的应用模块；
4、与项目经理，设计师和开发团队协作完成开发任务。
任职条件：
1、计算机科学或相关专业本科以上学历，具有3年以上Web移动端开发经验；
2、熟悉前后端交互方式以及API通信，能独立完成从现有PC端到mobile端的迁移；
3、有丰富的移动端h5开发（适配、调试）经验，精通HTML5、CSS3、javascript 等基础技术;
4、熟悉Vue、Angular框架和构建工具webpack；
5、熟悉后台Python语言。熟悉公众号、小程序等开发经验者更佳。

职能类别：
Python开发工程师
关键字：
python.net
微信分享"
,
python开发,"工作职责：
1、负责完善现有产品和系统开发、优化、部署、维护；
    2、协助完成需求收集、分析，系统设计，开发和部署等工作，编写开发过程中涉及的相关文档
    3、参与项目的需求分析和功能设计、详细设计、编码和单元测试，并完成相关文档的撰写；
    4、设计开发功能模块，确保其性能和可靠性，能独立处理和解决所负责的任务；
    5、进行软件开发新技术的研究，主动攻克项目开发过程中的相关技术问题。
    任职要求：
    1、熟练掌握Java 或 Python后端开发，熟悉Redis、Mysql等数据库；有hadoop, mongodb, elasticsearch经验者优先
    2、熟练掌握Nodejs、Spring、Flask、Tornado中至少一种框架，熟悉核心技术和原理；
    3、了解nlp的优先。
    4、独立完成功能模块开发和测试的能力；良好的沟通协作、分析和解决问题的能力；
    5、***本科及以上学历，计算机相关专业，3年及以上一线开发岗经验.


职能类别：
Java开发工程师
关键字：
javapythonhadoopSpringLinusx软件开发
微信分享"
,
