智能制造事业部总经理,50-60万/年,苏州金峰物流设备有限公司,苏州-工业园区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,年终奖金,餐饮补贴,补充医疗保险,员工旅游,定期体检,出国机会,专业培训","1.全面组织实施集团总裁的有关决议和规定，全面完成集团总裁制定的各项指标，并将实施情况向集团总裁汇报；
2.负责宣传贯彻执行国家和行业有关法律、法规、方针、政策；
3.根据集团总裁的要求确定事业部的经营方针，建立事业部的经营管理体系；
4.负责召集和主持事业部办公会议，协调、检查和督促各部的工作；
5.根据市场变化，不断调整事业部的经营方向，使事业部持续健康发展；

","要求：
1.智能仓储销售10年以上工作经验，5年以上管理工作经验，管理过100人的销售团队优先；
2.***本科以上学历，硕士以上学历尤佳，管理类相关专业；
3.优秀的外联与公关能力；
4.熟练的外语、沟通交流能力；
职能类别：
首席执行官CEO/总裁/总经理
微信分享"
智能制造管培生,5-6千/月,乐孜芯创自动化设备（上海）有限公司,上海-浦东新区  ,  1年经验  ,  大专  ,  招20人  ,  12-22发布  ,"五险一金,专业培训,定期体检,员工旅游,年终双薪,年终奖金,话费补贴","1、按照技术图纸要求完成产品机械组装、接线等工作，对每个部件在装配前进行检验，把控质量；  
2、配合研发部门同事进行产品的组装，修配；    
3、能看懂电气原理图，气路图，电路图，负责设备机台的组装、配线工作；    
4、工作环境是在洁净车间作业、需穿无尘服；     
5、主管安排的其他工作.
","要求：  
1、机械、机电、自动化、微电子、通讯、电气等相关专业专科及以上学历应届毕业生，英语良好；    
2、较好的学习及沟通能力，工作积极主动。
公司福利：
1、五险一金，年终奖，年度调薪；
2、补贴：住房1000元/月、交通10元/工作日、餐食30元/工作日、通讯50元/月；
3、年度旅游、团建、体检；
4、节日福利、年会奖品及红包等。
职能类别：
其他
微信分享"
智能制造规划师,2-3.5万/月,广东数夫软件有限公司,东莞  ,  2年经验  ,  大专  ,  招5人  ,  12-22发布,"五险一金,员工旅游,出国机会","岗位描述：
1、统筹项目整体信息化、数字化、智能化建设和规划；
2、编写项目的项目蓝图，并负责方案开发或实施的各环节，把握整体进度和预算，控制风险；
3、负责客户工厂的精益化、自动化、信息化布局等咨询与规划。
4、确保按客户需求设计，配置和安装产品和提供相关服务。
5、处理客户咨询，并解决客户在智能工厂整体规划中出现的技术问题。

","资格：
1、有柔性制造的理念；
2、有实操过实木、板式、沙发、床垫中的任何一种或者多种类型的智造规划，有落地案例为优先；
3、懂ERP/APS/MES/WMS/SCADA 软件；熟练掌握CAD等工作软件，并能够灵活应用；
4、在内外部和上下游有良好的组织、沟通、协调能力，抗压能力和自我学习与提升能力强，工作主动积极。

职能类别：
首席信息官CIO
关键字：
智能化智能制造实施精益化自动化信息化柔性制造CAD软件
微信分享"
智能制造工厂规划总监,2-2.5万/月,浙江维日托自动化科技有限公司,嘉兴  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,绩效奖金,年终奖金,节日福利,带薪年假,专业培训,员工旅游,出差补贴,通讯补贴","主要任务和职责：
1．负责汽车、军工等智能工厂及智能制造项目的规划及组织实施，负责智能制造技术体系建立；
2．负责智能工厂全生命周期的监控、实施与管理，包括前期调研、方案规划、系统架构、建设实施、项目验收等；
3．负责公司智能制造类项目的统筹，项目的进度、质量及成本控制，确保项目在预算范围内按时按质完成；
4．负责项目的技术协议、方案、谈判、成本评估、报价及合同等技术资料的设计与评审；
5．负责项目中涉及的各业务部门、IT及供应商间的沟通与协调；
6．搭建智能制造技术及项目团队，培养智能制造专业人员。

","条件：
1．本科及以上学历，工业工程、电气工程、自动化、机械工程等相关专业；
2．10年或以上智能制造工厂规划及相关经验，具备MES、PLM、ERP、APS、PDM、DNC与智能硬件、自动化物流、智能仓储等制造类软件的实施与集成经验，主导过两个以上完整的智能制造工厂的规划与实施；对工业4.0、两化融合等有深刻的认识与理解；对智能制造和数字化制造认识深刻，具有智能制造领域知名公司的工作背景经验者优先；
3．熟悉智能制造相关的政策法律法规；熟悉生产制造、精益管理、智能工厂的理念、规划及分布实施；
职能类别：
机械设计
关键字：
智能制造车间工厂规划精益生产管理
微信分享"
智能制造解决方案经理,15-20万/年,航天科工深圳（集团）有限公司,深圳-福田区  ,  5-7年经验  ,  硕士  ,  招1人  ,  12-22发布,"五险一金,补充医疗保险,通讯补贴,餐饮补贴,交通补贴,年终奖金","岗位职责：
1，负责完成客户的需求调研分析，依据客户需求进行智能制造、数字孪生类解决方案的制定；
2，负责工业制造类解决方案的售前支持，进行解决方案的内外部宣讲；
2，协调对接产品、交付及合作伙伴等资源，确保方案可交付可落地；
","要求：
1，硕士以上学历，五年以上工业制造行业解决方案或架构设计工作经验，主导过3个以上工业制造类项目落地；
2，熟悉云计算、IOT、大数据、数字孪生技术，且有以上技术相关的项目落地经验；
3，具备优秀的多学科知识的综合能力，能依据客户需求协同多学科专家沟通并总结输出解决方案；
4，能独立完成客户调研、需求分析、业务规划和数字化解决方案的设计输出及宣讲；
5，具备优秀的表达写作能力，能使用文字、图片、动画清楚地表达解决方案的价值，能熟练编写各类方案文档；
6，具备良好的沟通技巧，执行力强，具备优秀的团队合作精神、敬业精神。
职能类别：
生产经理/车间主任
微信分享"
自动化、智能制造方向博士,2.5-3万/月,杭州万事利丝绸文化股份有限公司,杭州-江干区  ,  2年经验  ,  博士  ,  招1人  ,  12-22发布,"五险一金,带薪年假,节日福利,高温补贴,专业培训","岗位职责：
1、完成上级领导布置的研发任务，并能处理和解决所负责的任务；     
2、围绕“未来工厂”展开智能制造的研发、设计与试生产工作； 
3、合作工厂新工艺/新技术的工艺编写、进程推进、问题解决、结论总结； 
4、熟悉项目的立项与申报、专利的撰写及行业科研信息的收集工作。
","要求：
1、获得博士学位，且获得学位时间一般不超过3年，身体健康；
2、研究方向围绕自动化、智能制造方面；
3、具备较强的沟通能力与分析能力，有一定解决问题能力，创新能力，试验设计能力；
4、吃苦耐劳、有专研精神、思维缜密、有较强的学习能力及团队意识和责任心，善于与人合作。
职能类别：
机械工程师
关键字：
科研技术员研究
微信分享"
智能制造系统总师,1.5-3万/月,成都世源频控技术股份有限公司,成都-武侯区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布  ,"五险一金,员工旅游,餐饮补贴,专业培训,年终奖金,定期体检,交通补贴,意外险,带薪年假","1、负责项目硬件的整体规划、总体方案的制定；
2. 负责处理项目中的难点问题；
3. 协助进行技术协议的拟制；
4. 负责项目管理，对项目的规划、成本、评审、资源配置、进度节点的管控；
5. 负责按照军工质量体系要求完成项目文件的审核和归档工作。

","要求：
1、本科以上学历，计算机、通讯、电工相关专业，具备6年以上系统开发经验；
2.具备优秀的方案书写能力，成功实施过3个以上系统项目的设计；
3.具备FPGA，VS，QT，CC等软件的设计经验；
4.了解射频通道的工作原理，能够识别射频通道中的基本问题；
5.熟悉频谱仪、信号源、矢量网络分析仪和示波器的使用；
6.熟悉GJB9001中设计与开发过程控制，熟悉软件管理要求；
7.沟通表达能力优秀，具有较强的组织协调能力，具有一定项目管理能力，保证项目的顺利进行；
8.具备信号通道检测、雷达系统、无线电监测系统项目设计开发经验者优先。
职能类别：
通信技术工程师
微信分享"
智能制造主管,0.8-1万/月,长春启配信息技术服务有限公司,长春-高新技术产业开发区  ,  5-7年经验  ,  本科  ,  招若干人  ,  12-22发布,"五险一金,周末双休,免费班车,食堂,住宿,节日福利,定期体检","岗位职责：
1、智能制造工厂管控框架、管控标准、管控要点的策划、落地。
2、负责智能制造相关项目的落地措施的策划、推进；
3、针对所有分子公司智能制造业务个性化升级转型方案辅导；
4、智能制造理论、框架、具体措施的研讨（策划）、标准编制；
5、把控集团整体的业务需求、方案、流程、规则、职责、关系、数据标准和数据流向；
6、下属公司智能制造人才育成相关工作；
7、支持各单位智能制造新线搭建，旧线改造等相关智能制造项目；
","要求
1、熟悉数字化制造、智能制造理论，实施方法；
2、熟悉智能制造信息技术、数据技术、网络、通信相关技术；
3、有智能制造领域从业经验、智能制造项目经验；
4、具有智能制造或IOT推广的经验；
二、知识要求：
1、具备复杂的、跨学科的知识结构：
     ①掌握主要的制造工艺、智能装备等方面的基本理论和基本知识；
     ②掌握工业自动化的基本理论和应用方法；
     ③具备基本的机械设计、装备技术方面的相关知识（PLC，传感器，机器人等），掌握基本的装备（设备）设计的流程和控制要点；
     ④掌握基本的IT相关知识，例如：数据通信、信号采集基本知识；
     ⑤精通数字化工厂整体业务架构，包含：ERP、MES、SAP等软件，以及数字化工厂模拟仿真等软件；
2、具备精益制造、工厂管理的知识。
     ①熟悉并掌握汽车零部件制造企业的现场/制造管理流程、方法，熟悉工厂运营各业务的关系和逻辑；
     ②熟悉并了解精益方法在工厂和制造过程的应用方法；
     ③熟悉工厂各关键KPI的计算方法、改进方法；
三、能力要求：
1、具备相当的策划能力和规划能力，具备策划数字化工厂、智能工厂架构、落地实施的能力；
2、有战略思维和顶层架构设计能力，能够将业务、流程、数据和IT打通；
3、把控整体的业务需求、方案、流程、规则、职责、关系、数据标准和数据流向；
4、具有开展智能制造相关培训、教学的能力；
四、经验要求：
1、在智能制造相关领域工作8年以上，有在世界500强企业工作经验者优先；
2、有智能制造工厂、产线项目导入经验者优先。
3.  具有多领域工作经验者优先(生产,制造，精益或者IT领域)
福利：六险二金 ，双休 ，福利俱全 公司提供：班车、食堂 ，节假日福利 ，良好的职位晋身通道和发展机会。

职能类别：
其他
关键字：
智能生产，人工智能
微信分享"
智能制造教研经理,1-2万/月,浙江省机器人创新中心,杭州  ,  5-7年经验  ,  本科  ,  招若干人  ,  12-22发布,"五险一金,餐饮补贴,专业培训,年终奖金,绩效奖金","岗位职责： 
           1.全面负责智能制造、工业机器人相关课程的市场调研、需求分析、用户分析、售后客户反馈等调研和分析工作，确保课程开发符合用户需求； 
           2.协助销售对职业院校客户进行课程内容讲解及售前支持，结合院校现有课程提出建设升级和修改意见，整理方案； 
           3.负责智能制造类课程产品的架构设计、内容策划、内容撰写、内容审核、表现形式等，确保课程的高品质； 
           4.负责课程的市场运营方案策划、课程上线后的答疑、对销售和市场人员进行培训。 
           ","要求： 
           1.本科及以上学历，机电、自动化、通信、计算机等相关专业背景，3年及以上相关开发或教学经验，具备智能制造教学经验者优先；  
           2.熟悉培训课程体系构建和开发，有外部优质课程资源整合能力；  
           3.具备较强的沟通协调能力、信息搜集处理能力；  
           4.学习能力强，思维活跃，领悟能力强。


职能类别：
市场/营销/拓展经理产品经理/主管
关键字：
教学课程开发
微信分享"
智能制造软件行业-电话销售,0.6-1万/月,南京星霸科技有限公司,南京-雨花台区  ,  无需经验  ,  大专  ,  招5人  ,  12-22发布  ,"周末双休,带薪年假,五险一金,专业培训,绩效奖金,公司旅游,高提成,高温补贴,节日福利","1、通过电话联系新客户，了解客户信息，为销售上门拜访垫定基础；
2、协助销售完成商务工作；
3、建立个人工作潜在客户档案；
4、维护老客户关系，反馈情况。
","要求：
1、男女不限，形象佳，年龄20-30岁，口头表达流利，具备较强的语言沟通能力和组织能力；
2、有电话营销经验者优先； 有通过电话侧面了解客户信息优先考虑。
3、能吃苦耐劳，意志坚定；
4、能熟练使用办公软件；
5、了解软件销售者优先考虑 

福利待遇：
1、稳定的收入=高薪资7000+奖金+高提成（上不封顶）+分红+大单奖（2年以上成熟销售年度保底综合收入达15万以上）+不定期激励计划；
2、完善的培训=专业的带薪入职培训+实用的在职培训+系统的阶段性培训+外软件大公司专业培训；
3、人性化工时=双休+国家法定假日休假+其他假期；
4、清晰的规划=以综合业绩为导向+简单融洽的职场氛围+公开透明的晋升通道；
5、健全的福利=五险一金+早九晚六+春节长假12天+免上班打卡+劳逸结合的团队拓展+不定期的国内外旅游

地址：南京市雨花台区雨花东路65号方圣科创产业园B座5楼509室

职能类别：
电话销售销售助理
关键字：
CAD行业背景CAE行业背景CAM行业背景PDM行业背景
微信分享"
智能制造经理,1-1.5万/月,慈溪市万能电子有限公司,嘉兴  ,  3-4年经验  ,  大专  ,  招1人  ,  12-22发布,"年终奖金,专业培训",,"要求：
1、大专以上学历，机电一体化专业；
2、三年以上工作经验；
3、熟悉办公软件，互联网；
4、团队合作精神。
职能类别：
生产经理/车间主任
微信分享"
